OfferID,MerchantID
33355,359
33356,359
33357,359
33358,359
33359,359
33446,359
33447,359
33448,359
33449,359
33450,359
33451,359
33452,359
33453,359
33454,359
33455,359
33599,359
33600,359
33601,359
33602,359
33603,359
33604,359
33605,359
33606,359
33607,359
33608,359
33609,359
33610,359
33611,359
33612,359
33613,359
33614,359
33615,359
33616,359
33763,359
33764,359
33765,359
33766,359
33767,359
33768,359
33769,359
33770,359
33771,359
33772,359
33773,359
33774,359
33775,359
33811,359
33812,359
33813,359
33814,359
33815,359
33816,359
33817,359
33818,359
33912,359
33913,359
33914,359
33915,359
33916,359
33917,359
33918,359
33919,359
33920,359
33921,359
33922,359
33923,359
33982,359
33983,359
33984,359
33985,359
34059,359
34060,359
34061,359
34062,359
34063,359
34064,359
34065,359
34066,359
34067,359
34068,359
34069,359
34070,359
34071,359
34072,359
34073,359
34074,359
34075,359
34076,359
34247,359
34248,359
34249,359
34250,359
34251,359
34252,359
34253,359
34254,359
34255,359
34256,359
34257,359
34258,359
34259,359
34260,359
34261,359
34262,359
34263,359
34264,359
34265,359
34389,359
34390,359
34391,359
34392,359
34393,359
34394,359
34395,359
34396,359
34397,359
34398,359
34399,359
34516,359
34517,359
34518,359
34519,359
34520,359
34521,359
34522,359
34523,359
34524,359
34525,359
34526,359
34527,359
34528,359
34529,359
34530,359
34610,359
34611,359
34612,359
34613,359
34614,359
34615,359
34616,359
34617,359
34618,359
34619,359
34663,359
34664,359
34665,359
34666,359
34667,359
34668,359
34669,359
34670,359
34671,359
34784,359
34785,359
34786,359
34787,359
34788,359
34789,359
34894,359
34895,359
34896,359
34897,359
34898,359
34899,359
34900,359
35030,359
35031,359
35032,359
35033,359
35034,359
35035,359
35036,359
35037,359
35038,359
35039,359
35040,359
35208,359
35209,359
35210,359
35211,359
35212,359
35213,359
35214,359
35215,359
35216,359
35217,359
35218,359
35219,359
35220,359
35221,359
35222,359
35223,359
35224,359
35394,359
35395,359
35396,359
35397,359
35398,359
35399,359
35400,359
35401,359
35402,359
35403,359
35404,359
35405,359
35453,359
35454,359
35455,359
35456,359
35457,359
35458,359
35459,359
35460,359
35461,359
35462,359
35463,359
35464,359
35465,359
35466,359
35467,359
35468,359
35469,359
35470,359
35471,359
35472,359
35503,359
35504,359
35505,359
35506,359
35507,359
35508,359
35509,359
35706,359
35707,359
35708,359
35709,359
35710,359
35711,359
35712,359
35713,359
35714,359
35715,359
35716,359
36076,359
36077,359
36078,359
36079,359
36080,359
36081,359
36082,359
36083,359
36084,359
36085,359
36086,359
11832,360
11833,360
11834,360
11835,360
11836,360
11837,360
11838,360
11839,360
11840,360
11841,360
11842,360
11843,360
11844,360
11845,360
11846,360
11847,360
11848,360
11849,360
11850,360
15027,360
15028,360
16314,360
19034,360
20127,360
20128,360
20129,360
20130,360
20131,360
20132,360
20133,360
20134,360
20135,360
20136,360
20137,360
20138,360
20139,360
20480,360
20481,360
20482,360
20483,360
20484,360
20485,360
20486,360
20487,360
20488,360
20489,360
20619,360
20620,360
20621,360
20622,360
20623,360
20624,360
20625,360
20626,360
20749,360
20864,360
21131,360
21132,360
21133,360
21134,360
21135,360
21136,360
21137,360
21138,360
21139,360
21740,360
21741,360
21742,360
21743,360
21744,360
22303,360
22304,360
22305,360
22306,360
22307,360
22308,360
22309,360
22580,360
22691,360
24096,360
24982,360
24983,360
25218,360
25337,360
25338,360
25339,360
25340,360
26655,360
26853,360
26854,360
26855,360
26856,360
26857,360
26858,360
26859,360
26860,360
26861,360
27182,360
27183,360
27184,360
28526,360
28777,360
29100,360
29101,360
29255,360
29459,360
29460,360
29921,360
30075,360
30463,360
30464,360
30465,360
30466,360
30467,360
30468,360
30469,360
30470,360
30636,360
30637,360
30638,360
30639,360
30640,360
30641,360
30642,360
30643,360
30947,360
30948,360
30949,360
30950,360
31216,360
31317,360
31318,360
31319,360
31320,360
31724,360
31725,360
31817,360
31893,360
31894,360
31895,360
31896,360
32356,360
32357,360
32358,360
32520,360
32696,360
32843,360
32844,360
33003,360
33071,360
33072,360
33073,360
33237,360
33238,360
33315,360
33316,360
33317,360
33318,360
33319,360
33539,360
33540,360
33541,360
33542,360
33753,360
33798,360
33799,360
33800,360
33896,360
33897,360
33898,360
33973,360
34023,360
34024,360
34025,360
34026,360
34027,360
34028,360
34029,360
34215,360
34216,360
34217,360
34218,360
34366,360
34468,360
34480,360
34481,360
34482,360
34636,360
34637,360
34638,360
34639,360
34640,360
34753,360
34984,360
34985,360
34986,360
34987,360
35178,360
35179,360
35180,360
35377,360
35378,360
35379,360
35380,360
35558,360
35559,360
35560,360
35561,360
36042,360
36043,360
36044,360
36045,360
36046,360
36047,360
36048,360
36049,360
14050,361
14051,361
14052,361
14053,361
14054,361
14055,361
14056,361
14057,361
14058,361
14059,361
14060,361
14249,361
14250,361
14264,361
14268,361
14269,361
14270,361
14271,361
14272,361
14273,361
14274,361
14275,361
14276,361
14277,361
14365,361
14366,361
14367,361
14368,361
14369,361
14370,361
15020,361
15021,361
15022,361
15023,361
15024,361
15025,361
15152,361
15153,361
15154,361
15155,361
15156,361
15157,361
15158,361
15159,361
15160,361
15161,361
15162,361
15163,361
17333,361
17334,361
17641,361
18006,361
18253,361
18263,361
18266,361
18267,361
19163,361
19164,361
19165,361
19166,361
19167,361
19430,361
19736,361
19737,361
19738,361
19739,361
19740,361
19741,361
19742,361
19743,361
19826,361
19827,361
19828,361
20012,361
20013,361
20014,361
20015,361
20222,361
20223,361
20224,361
20225,361
20805,361
20806,361
20807,361
20961,361
20962,361
21300,361
21301,361
21302,361
22405,361
22406,361
22407,361
22408,361
22409,361
22787,361
22788,361
23180,361
23181,361
23182,361
23183,361
24571,361
24572,361
24573,361
24574,361
24762,361
25063,361
26704,361
26969,361
27481,361
27482,361
28567,361
28685,361
28859,361
29287,361
29465,361
29992,361
29993,361
30157,361
30158,361
30532,361
30760,361
30761,361
31084,361
31776,361
31777,361
31778,361
32370,361
32371,361
32733,361
32891,361
32892,361
33165,361
33281,361
33646,361
33647,361
33928,361
33987,361
34549,361
35059,361
35272,361
35407,361
35789,361
13580,362
13581,362
13582,362
13583,362
13584,362
13585,362
13586,362
13587,362
13588,362
13589,362
13590,362
13591,362
13592,362
13593,362
13594,362
13595,362
13596,362
13597,362
13598,362
13599,362
13600,362
13601,362
13602,362
13603,362
13604,362
13605,362
13606,362
13607,362
13608,362
13609,362
13610,362
13611,362
13612,362
13613,362
13614,362
13615,362
13616,362
13617,362
13618,362
13619,362
13620,362
13621,362
13622,362
13623,362
13624,362
13625,362
13626,362
13627,362
13628,362
13629,362
13630,362
13631,362
13632,362
13633,362
13634,362
13635,362
13636,362
13637,362
13638,362
13639,362
13640,362
13641,362
13642,362
13643,362
13644,362
13645,362
13646,362
13647,362
13648,362
13649,362
13650,362
13651,362
13652,362
13653,362
13654,362
13655,362
13656,362
13657,362
13658,362
13659,362
13660,362
13661,362
13662,362
13663,362
13664,362
13665,362
13666,362
13667,362
13668,362
13669,362
13670,362
13671,362
13672,362
13673,362
13674,362
13675,362
13676,362
13677,362
13678,362
13679,362
13680,362
13681,362
13682,362
13683,362
13684,362
13685,362
13686,362
14778,362
14779,362
14780,362
14781,362
14782,362
14783,362
14784,362
14785,362
14786,362
14787,362
14788,362
14789,362
14790,362
14791,362
14792,362
14793,362
14794,362
14795,362
14796,362
14797,362
14798,362
14799,362
14800,362
14801,362
14802,362
14803,362
14804,362
14805,362
14806,362
14807,362
14808,362
14809,362
14810,362
14811,362
14812,362
14813,362
14814,362
14815,362
14816,362
14817,362
14818,362
14819,362
14820,362
14821,362
14822,362
14823,362
14824,362
15447,362
15448,362
15449,362
15450,362
15451,362
15452,362
15453,362
15541,362
15542,362
15543,362
15809,362
15881,362
15882,362
15999,362
16000,362
16001,362
16055,362
16056,362
16057,362
16174,362
16232,362
16233,362
16234,362
16286,362
16287,362
16288,362
16358,362
16395,362
16396,362
16397,362
16398,362
16399,362
16529,362
16530,362
16565,362
16716,362
16763,362
16815,362
16816,362
16891,362
16892,362
17365,362
17366,362
17367,362
17368,362
17369,362
17413,362
17414,362
