"","CustomerID","OfferID","value","interest","CategoryID","CategoryName","CategoriesCSV"
"82",13,15283,"4","YES",60000,"Entertainment",NA
"83",13,15283,"4","YES",60100,"Sports",NA
"84",13,15283,"4","YES",60400,"CDs Books and Magazine",NA
"85",13,15283,"4","YES",60500,"Gaming",NA
"86",13,15283,"4","YES",60600,"Music",NA
"87",13,15283,"4","YES",60700,"Board Games and Toys",NA
"88",13,15283,"4","YES",90000,"Health and Beauty",NA
"89",13,15283,"4","YES",90200,"Body Care",NA
"90",13,15283,"4","YES",90300,"Mens Grooming",NA
"91",13,15283,"4","YES",90400,"Makeup Products",NA
"92",13,15283,"4","YES",90500,"Fitness",NA
"93",13,15283,"4","YES",90600,"Nutrition",NA
"94",13,15283,"4","YES",100000,"Home and Living",NA
"95",13,15283,"4","YES",100100,"Furniture and Decor",NA
"96",13,15283,"4","YES",100200,"Housekeeping",NA
"97",13,15283,"4","YES",100300,"Pet Supplies",NA
"98",13,15283,"4","YES",100400,"Kitchenware",NA
"99",13,15283,"4","YES",110000,"Kids and Toddlers",NA
"100",13,15283,"4","YES",110100,"Kids Fashion",NA
"101",13,15283,"4","YES",110200,"School Stuff",NA
"102",13,15283,"4","YES",110300,"Baby Care",NA
"103",13,15283,"4","YES",110400,"Maternity",NA
"104",13,15283,"4","YES",110500,"Baby Gears",NA
"105",13,15283,"4","YES",130000,"Software and IT",NA
"106",13,15283,"4","YES",130100,"Computer Softwares",NA
"107",13,15283,"4","YES",140000,"Stationary",NA
"108",13,15283,"4","YES",140100,"Office Supplies",NA
"109",13,15284,"4","NO",10000,"Fashion",NA
"110",13,15284,"4","NO",10100,"Mens Apparels",NA
"111",13,15284,"4","NO",10200,"Womens Apparels",NA
"112",13,15284,"4","NO",10300,"Watches",NA
"113",13,15284,"4","NO",10400,"Ethnic Wear",NA
"114",13,15284,"4","NO",10500,"Lingerie",NA
"115",13,15284,"4","NO",10600,"Eyewear",NA
"116",13,15284,"4","NO",10700,"Footwear",NA
"117",13,15284,"4","NO",10800,"Handbags and Wallets",NA
"118",13,15284,"4","NO",10900,"Jewellery",NA
"119",13,15284,"4","NO",11000,"Fashion Accessories",NA
"120",13,15284,"4","NO",20000,"Training and Materials",NA
"121",13,15284,"4","NO",30000,"Car and Bike Accessories",NA
"122",13,15284,"4","NO",40000,"Electronics and Gadgets",NA
"123",13,15284,"4","NO",40100,"Cameras",NA
"124",13,15284,"4","NO",40200,"Gaming Consoles",NA
"125",13,15284,"4","NO",40300,"Computers and Laptops",NA
"126",13,15284,"4","NO",40400,"Computer Accessories",NA
"127",13,15284,"4","NO",40500,"Mobiles and Tablets",NA
"128",13,15284,"4","NO",40600,"Mobile Accessories",NA
"129",13,15284,"4","NO",40700,"Personal Care Appliances",NA
"130",13,15284,"4","NO",40800,"Home Appliances",NA
"131",13,15284,"4","NO",60000,"Entertainment",NA
"132",13,15284,"4","NO",60100,"Sports",NA
"133",13,15284,"4","NO",60400,"CDs Books and Magazine",NA
"134",13,15284,"4","NO",60500,"Gaming",NA
"135",13,15284,"4","NO",60600,"Music",NA
"136",13,15284,"4","NO",60700,"Board Games and Toys",NA
"137",13,15284,"4","NO",90000,"Health and Beauty",NA
"138",13,15284,"4","NO",90200,"Body Care",NA
"139",13,15284,"4","NO",90300,"Mens Grooming",NA
"140",13,15284,"4","NO",90400,"Makeup Products",NA
"141",13,15284,"4","NO",90500,"Fitness",NA
