ShopID,ShopName,Address,Landmark,Area,City,Pincode,Latitude,Longitude,State,StartTime,EndTime,OpenMonday,OpenTuesday,OpenWednesday,OpenThursday,OpenFriday,OpenSaturday,OpenSunday,MerchantID,ShopAddDate
2752,"Busaba, Colaba","4, Mandlik Road, Colaba",,Colaba,Mumbai,,18.9221555,72.8324018,Maharashtra,"12 PM - 3 PM, 6:30 PM to 1:00 AM",,1,1,1,1,1,1,1,2652,06-01-2015
2753,Exotic Flavours Restaurant & Lounge,"2, Saidham PK Road, Mulund West",,Mulund West,Mumbai,,19.1676852,72.9444546,Maharashtra,11:30 AM - 11:45 PM,,1,1,1,1,1,1,1,2653,06-01-2015
2754,Quesso Ristorante,"93 to 96, Link Plaza Commercial Premises, Above Shreejee Veg Wonder, Link Road Extension, Oshiwara",,Jogeshwari West,Mumbai,,19.1483497,72.8404703,Maharashtra,12 PM to 12:00 AM,,1,1,1,1,1,1,1,2654,06-01-2015
2755,Hard Rock Cafe  Worli,"Kamala City Mills Studio, Pandurang Budhkar Marg, Worli",,Worli,Mumbai,,19.0062696,72.8206853,Maharashtra,12 PM to 1:30 AM,,1,1,1,1,1,1,1,2655,06-01-2015
2756,Mix@36,"The Westin, 36/3B, Mundhwa Road, Koregaon Park Annexe",,Mundhwa,Pune,,18.5329794,73.9340369,Maharashtra,05:00 PM to 01:00 AM,,1,1,1,1,1,1,1,2656,06-01-2015
2757,Merlins Karaoke Bar  Balewadi,"VITS Luxury Business Hotel, Adjacent to Chhatrapati Shivaji Sports Complex Bangalore Highway, Balewadi",,Baner,Pune,,18.5484975,73.7733572,Maharashtra,04:00 PM to 12:00 Midnight,,1,1,1,1,1,1,1,2657,06-01-2015
2758,Melange,"423-426 Oppsite Cifi Crown Building, Near Karve Statue, Karve Road, Kothrud",,Karve Nagar,Pune,,18.4916267,73.8184115,Maharashtra,05:30 PM  to 11:30 PM,,1,1,1,1,1,1,1,2658,06-01-2015
2759,Namah,"208/3/2 Kalewadi Chowk, Opposite Good Home Store, Wakad",,Wakad,Pimpri-Chinchwad,,18.5989428,73.7652715,Maharashtra,11:00 AM to 11:00 PM,,1,1,1,1,1,1,1,2659,06-01-2015
2760,Neptune Bar and Lounge,"S. No. 21, Plot No. 3/2,Rajiv Gandhi Infotech Park, Phase I , Hinjewadi",,Hinjawadi,Pimpri-Chinchwad,,18.6039277,73.7161535,Maharashtra,7:30 PM to 11 PM,,1,1,1,1,1,1,1,2660,06-01-2015
2761,Orchid Multi-Cuisine Restaurant,"S. No. 21, Plot No. 3/2,Rajiv Gandhi Infotech Park, Phase I , Hinjewadi",,Hinjawadi,Pimpri-Chinchwad,,18.6039277,73.7161535,Maharashtra,"12:30 PM to 3 PM, 7:30 PM to 11 PM",,1,1,1,1,1,1,1,2661,06-01-2015
2762,Lincoln Buffet,"Terrace, B Wing, ICC Trade Tower, Senapati Bapat Road",,Senapati Bapat Road,Pune,,18.5310746,73.829964,Maharashtra,"11:30 AM to 03:30 PM, 07:00 PM to 11:00 PM",,1,1,1,1,1,1,1,2662,06-01-2015
2763,Little Italy  Chinchwad,"D III/5, Trsala Crest  Road, Chinchwad",,Chincwad,Pune,,18.5868299,73.8329823,Maharashtra,12:00 Noon to 03:00 PM & 07:00 PM to 11:00 PM,,1,1,1,1,1,1,1,2663,06-01-2015
2764,Little Italy  Bund Garden Road,"Opp.  Central Mall, 361 Bund Garden Road, Bund Garden",,Sangamvadi,Pune,,18.5412212,73.8844441,Maharashtra,12:00 Noon to 03:00 PM & 07:00 PM to 11:00 PM,,1,1,1,1,1,1,1,2664,06-01-2015
2765,Lost The Plot,"Seasons Apartment Hotel, 7th Floor, 128/2 Sanewadi, Aundh",,Aundh,Pune,,18.5546562,73.806984,Maharashtra,"06:00 PM to 11:30 PM Wednesday, Friday to Sunday",,1,1,1,1,1,1,1,2665,06-01-2015
2766,Legends,"9th Level, Icon Towers, Baner",,Baner,Pune,,18.5653114,73.77415,Maharashtra,12:00 Noon to 11:30 PM,,1,1,1,1,1,1,1,2666,06-01-2015
