OfferID,LMDID,OfferTitle,OfferDesc,TnC1,TnC2,TnC3,TnC4,TnC5,GeneralOfferTnC,Online_Offline,OfferImgUrl1,OfferImgUrl2,OfferImgUrl3,OfferImpactIndex,OfferStartDate,OfferEndDate,CouponType,OfferType,OfferActiveFlag,OfferAddDate,CategoriesCSV,Bank
34753,105391,Super Value Days - Upto Rs.600 Cashback on Min. Purchase of Rs.1000 (1st and 2nd of Every Month),,,,,,,,Online,http://g-ecx.images-amazon.com/images/G/31/img16/SVD/March/topbanner_svd.jpg,,,3,01-04-2016,01-05-2016,Deal,Cashback,Y,04-04-2016,"Grocery,Health and Beauty,Body Care,Mens Grooming,Makeup Products,Home and Living,Kitchenware,Housekeeping,Pet Supplies,Kids and Toddlers,Baby Care",
34754,105321,Rs.150 Off on Min. Purchase of Rs.699,,,,,,,,Online,http://www.archiesonline.com/upload/home_banner_d3b50e93-4895-4234-8131-5995b44f8646.jpg,,,4,01-04-2016,01-05-2016,Code,Coupon,Y,04-04-2016,Gift Items,
34755,105319,Rs.100 Off on Anniversary Gifts (Min. Purchase of Rs.399),,,,,,,,Online,http://www.archiesonline.com/upload/ManagePageImages/cac50349-3aed-46dd-a316-e3e2f3dce534.jpg,,,4,01-04-2016,01-05-2016,Code,Coupon,Y,04-04-2016,Gift Items,
34756,105317,10% Off on All Products,,,,,,,,Online,http://www.archiesonline.com/upload/home_banner_d3b50e93-4895-4234-8131-5995b44f8646.jpg,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,04-04-2016,Gift Items,
34757,105318,Upto 30% Off + Extra Rs.100 Off on Birthday Gifts (Min. Purchase of Rs.399),,,,,,,,Online,http://www.archiesonline.com/upload/product/large/Happy_Day_Birthday_Hamper_BDY1605_0acff588.jpg,,,4,01-04-2016,01-05-2016,Code,Coupon,Y,04-04-2016,Gift Items,
34758,105320,15% Off on Birthday Gifts (Min. Purchase of Rs.699),,,,,,,,Online,http://www.archiesonline.com/upload/ManagePageImages/7690fa2b-816d-4b8c-b50b-aa6c0b38c9ad.jpg,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,04-04-2016,Gift Items,
34765,105316,"5% OFF on order of Rs.10,000+ (Not on gold Coins, Solitaire or Plain gold Jewellery)",,,,,,,,Online,http://www.bluestone.com/jewellery/platinum+bands.html?sortby=date_add&ref=HP_banner_platinum_bands,,,2,01-04-2016,01-11-2016,Code,Coupon,Y,04-04-2016,"Fashion,Jewellery",
34767,105228,50% Cashback on Activities (Max. Cashback is Rs.350),,,,,,,,Online,,,,4,01-04-2016,14-04-2016,Code,Coupon,Y,04-04-2016,"Travel,Holidays",
34778,105380,33% OFF  on Handpicked Products,,,,,,,,Online,http://cdn.firstcry.com/brainbees/banners/CPID_Flat33OFF.jpg,,,4,01-04-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Kids and Toddlers,Kids Fashion,School Stuff,Baby Care,Maternity,Baby Gears,Entertainment,Board Games and Toys",
34779,105374,"20% OFF + 20% Cashback on Entire School Supplies Range (Max. Cashback is Rs.250. Not on Diapers, Combos, Bottles & Accessories, Formula & supplements and few brands",,,,,,,,Online,http://cdn.firstcry.com/brainbees/images/back-to-school/d/Back2School_Desktop-Top-Banner.png,,,4,01-04-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Kids and Toddlers,School Stuff",
